== row0 n=35 ==
  x[0.022,0.052] y[0.117,0.574] '目的经济——社团组织发展新格局' conf=0.95 src=
  x[0.052,0.086] y[0.117,0.574] '群落化生存 移动互联时代网络社群的生成与传播' conf=0.95 src=
  x[0.086,0.110] y[0.117,0.574] '支持性社会组织概览' conf=0.95 src=
  x[0.110,0.132] y[0.117,0.574] '高效务实——非营利组织项目管理指南' conf=0.9 src=
  x[0.137,0.168] y[0.117,0.574] '路人甲 99%的社交红利来自那些意想不到的人' conf=0.95 src=
  x[0.168,0.200] y[0.117,0.574] '下一个社会的管理' conf=0.95 src=
  x[0.210,0.238] y[0.117,0.574] '社会网络中基于用户认知结构的知识标注研究' conf=0.95 src=
  x[0.238,0.265] y[0.117,0.574] '儿童社交退缩 发展规律与干预' conf=0.95 src=
  x[0.265,0.284] y[0.117,0.574] '漫画 拒绝' conf=0.95 src=
  x[0.284,0.305] y[0.117,0.574] '社交三力' conf=0.95 src=
  x[0.305,0.331] y[0.117,0.574] '关系何以强弱——批判格兰诺维特' conf=0.95 src=
  x[0.331,0.357] y[0.149,0.574] '下一个社会的管理' conf=0.96 src=
  x[0.361,0.383] y[0.117,0.574] '洞察社交' conf=0.95 src=
  x[0.386,0.408] y[0.126,0.574] '『云交往』数字时代的交往与文化' conf=0.94 src=
  x[0.408,0.434] y[0.138,0.574] '社会网络分析方法与应用' conf=0.93 src=
  x[0.434,0.453] y[0.218,0.574] '短视频平台中的身体表演与身份认同' conf=0.91 src=
  x[0.453,0.469] y[0.259,0.574] '总想离人远一点 社恐人自助指南' conf=0.9 src=
  x[0.469,0.492] y[0.218,0.574] '幽默社交' conf=0.95 src=
  x[0.492,0.516] y[0.167,0.574] '功能社会' conf=0.96 src=
  x[0.516,0.534] y[0.218,0.574] '漫画图解分寸' conf=0.94 src=
  x[0.534,0.547] y[0.207,0.574] '暖场有招 轻松应对重要场合' conf=0.92 src=
  x[0.547,0.579] y[0.167,0.574] '相变 组织如何推动改变世界的奇思狂想' conf=0.93 src=
  x[0.579,0.596] y[0.253,0.574] '别急着辞职 8招应对16种令人讨厌的同事' conf=0.91 src=
  x[0.617,0.635] y[0.226,0.574] '线上社交超级沟通术' conf=0.95 src=
  x[0.635,0.665] y[0.219,0.574] '国际视野与中国实践 生活质量的指标体系' conf=0.9 src=
  x[0.665,0.691] y[0.219,0.574] '幽默社交' conf=0.95 src=
  x[0.691,0.714] y[0.218,0.574] '二十几岁交朋友，你必须懂点社交学' conf=0.92 src=
  x[0.714,0.733] y[0.219,0.574] '练达 如何成为社交高手' conf=0.9 src=
  x[0.733,0.753] y[0.219,0.574] '一句顶万句 优势谈判' conf=0.9 src=
  x[0.753,0.775] y[0.142,0.574] '漫画中国式极简社交' conf=0.95 src=
  x[0.775,0.794] y[0.142,0.574] '论关系与关系网络' conf=0.95 src=
  x[0.794,0.814] y[0.142,0.574] '面向社交网络的社区搜索技术' conf=0.9 src=
  x[0.814,0.834] y[0.142,0.574] '进城务工人员社会网络信息寻求研究' conf=0.9 src=
  x[0.834,0.855] y[0.142,0.574] '从社恐到社牛' conf=0.95 src=
  x[0.855,0.892] y[0.219,0.574] '社交恐惧心理学' conf=0.95 src=
== row1 n=4 ==
  x[0.889,0.918] y[0.115,0.778] '练达 如何成为社交高手' conf=0.76 src=frame
  x[0.918,0.948] y[0.115,0.778] '一句顶万句 优势谈判' conf=0.76 src=frame
  x[0.948,0.977] y[0.115,0.778] '漫画中国式极简社交' conf=0.76 src=frame
  x[0.977,1.000] y[0.115,0.778] '关系与关系网络' conf=0.76 src=frame
== row2 n=22 ==
  x[0.121,0.148] y[0.425,0.776] '非营利组织项目管理指南' conf=0.9 src=
  x[0.148,0.205] y[0.425,0.776] '交换红利来自 37' conf=0.825 src=
  x[0.205,0.228] y[0.425,0.776] '菜鸟谈判进阶的八大要领' conf=0.9 src=
  x[0.270,0.286] y[0.425,0.776] '大漫工坊' conf=0.85 src=
  x[0.286,0.300] y[0.425,0.776] '社会团体' conf=0.5 src=
  x[0.300,0.320] y[0.425,0.776] '刘碧瑛◎著' conf=0.9 src=
  x[0.342,0.385] y[0.425,0.776] '刘军/著 37' conf=0.9 src=
  x[0.385,0.407] y[0.425,0.776] 'SOCIALIZATION INTO INSIGHTS' conf=0.9 src=
  x[0.407,0.428] y[0.425,0.776] '王敏芝 著' conf=0.9 src=
  x[0.428,0.450] y[0.425,0.776] '应用' conf=0.9 src=
  x[0.450,0.472] y[0.425,0.776] '身份认同' conf=0.9 src=
  x[0.472,0.493] y[0.425,0.776] '社恐人自助指南' conf=0.9 src=
  x[0.493,0.537] y[0.425,0.776] '分寸 38' conf=0.9 src=
  x[0.580,0.602] y[0.425,0.776] '职' conf=0.9 src=
  x[0.602,0.623] y[0.425,0.776] '级沟通术' conf=0.9 src=
  x[0.634,0.653] y[0.425,0.776] '生活质量的指标体系研究' conf=0.95 src=
  x[0.653,0.676] y[0.425,0.776] '社交学' conf=0.95 src=
  x[0.676,0.694] y[0.425,0.776] '为社交高手' conf=0.9 src=
  x[0.694,0.710] y[0.425,0.776] '向宇◎著' conf=0.9 src=
  x[0.722,0.745] y[0.425,0.776] '络' conf=0.85 src=
  x[0.745,0.768] y[0.425,0.776] '求研究' conf=0.85 src=
  x[0.768,0.791] y[0.425,0.776] '心理学' conf=0.95 src=
